	Age	Education	Marital_Status	Income	Children	daysCustomerFor	Recency	Wines	Fruits	Meat	Fish	Sweets	Total_Spent	Gold	NumDealsPurchases	NumWebPurchases	NumCatalogPurchases	PurchaseNum	NumStorePurchases	NumWebVisitsMonth	Total_campaigns_accepted	Complain	Cust_Seniority	Clusters
42	65	UG	Married	21994.0	1	712	4	9	0	6	3	1	22	3	1	0	0	3	3	5	0	0	Old	2
43	63	PG	Single	51381.5	0	574	80	81	11	50	3	2	186	39	1	1	3	8	4	2	0	0	Old	2
44	47	PG	Married	7500.0	1	664	19	3	1	10	3	2	31	12	3	2	0	5	3	5	0	0	Old	2
45	46	UG	Single	79941.0	0	161	72	123	164	266	227	30	984	174	1	2	4	15	9	1	0	0	New	1
46	26	UG	Married	7500.0	0	816	24	3	18	14	15	22	122	50	3	3	1	7	3	9	1	0	Old	2
47	54	UG	Married	41728.0	1	561	92	13	6	15	3	5	55	13	1	2	0	4	2	10	0	0	Old	2
48	71	UG	Single	51381.5	3	339	96	48	5	48	6	10	124	7	3	2	1	7	4	6	0	0	New	4
49	68	PG	Married	72550.0	2	847	39	826	50	317	50	38	1319	38	9	5	2	19	12	8	0	0	Old	0
50	65	UG	Single	65486.0	1	1	29	245	19	125	37	67	507	14	1	4	2	16	10	2	0	0	New	1
51	58	PG	Married	79143.0	0	758	2	650	37	780	27	167	1693	32	1	6	9	28	13	3	0	0	Old	3
52	45	UG	Single	35790.0	1	673	54	12	6	20	30	1	72	3	2	2	0	5	3	7	0	0	Old	2
53	45	UG	Single	82582.0	0	153	54	510	120	550	156	40	1617	241	1	4	9	20	7	1	3	0	New	1
54	44	UG	Married	66373.0	2	365	57	328	9	124	12	24	606	109	7	4	2	16	10	3	0	0	New	0
55	67	PG	Married	82384.0	0	747	55	984	51	432	180	120	1957	190	1	3	10	26	13	1	2	0	Old	3
56	56	UG	Single	70287.0	0	670	30	295	35	482	121	120	1093	40	1	5	5	20	10	3	1	0	Old	3
57	34	UG	Single	27938.0	1	222	31	13	0	8	2	1	29	5	1	1	0	5	4	3	0	0	New	4
58	40	UG	Single	51381.5	1	537	57	11	3	22	2	2	46	6	2	2	0	5	3	6	0	0	Old	2
59	54	PG	Married	55954.0	1	278	63	447	0	28	0	0	518	43	3	8	2	16	6	7	0	0	New	4
60	40	PG	Single	75777.0	0	608	12	712	26	538	69	13	1438	80	1	3	6	20	11	1	3	0	Old	3
61	47	UG	Married	66653.0	2	880	18	452	18	102	16	18	612	6	4	4	2	18	12	3	0	0	Old	0
62	70	UG	Single	61823.0	1	656	26	523	7	134	37	14	884	169	4	8	2	20	10	7	0	0	Old	0
63	71	PG	Single	67680.0	1	395	8	546	0	48	0	6	606	6	1	7	3	18	8	5	0	0	Old	0
64	74	UG	Married	70666.0	0	542	29	398	40	367	119	122	1076	30	1	7	4	15	4	4	0	0	Old	3
65	51	UG	Married	25721.0	1	564	75	1	3	6	3	6	34	15	1	1	1	4	2	7	1	0	Old	2
66	55	UG	Married	32474.0	2	31	0	10	0	1	0	0	11	0	1	1	0	3	2	7	0	0	New	4
67	43	UG	Single	88194.0	1	262	19	688	14	309	201	24	1274	38	1	11	10	31	10	5	3	0	New	1
68	64	UG	Married	69096.0	1	435	4	247	49	159	7	82	653	109	1	5	2	17	10	4	0	0	Old	0
69	52	UG	Married	74854.0	3	489	90	856	59	487	58	29	1562	73	7	2	5	12	5	5	0	0	Old	0
70	68	PG	Married	66991.0	0	757	1	496	36	460	189	60	1253	12	3	4	8	18	6	3	0	0	Old	3
71	49	UG	Married	51381.5	1	813	25	25	3	43	17	4	109	17	3	3	0	6	3	8	0	0	Old	2
72	63	UG	Married	65031.0	1	629	29	258	107	291	84	37	863	86	4	10	3	26	13	7	0	0	Old	0
73	47	PG	Married	60631.0	2	581	88	565	6	65	0	6	661	19	5	9	2	19	8	7	1	0	Old	0
74	70	UG	Married	28332.0	0	220	58	14	10	13	4	15	65	9	1	2	1	7	4	2	0	0	New	4
75	45	UG	Single	40246.0	1	717	68	2	1	6	2	1	13	1	1	1	0	3	2	6	0	0	Old	2
76	50	PG	Married	75251.0	0	831	34	721	111	925	97	18	1890	18	1	7	6	18	5	5	1	0	Old	3
77	46	UG	Single	75825.0	0	726	40	1032	105	779	137	105	2209	51	0	5	8	22	9	4	2	0	Old	3
78	46	UG	Married	26326.0	0	606	12	1	0	5	0	3	18	9	1	0	0	3	3	3	0	1	Old	2
79	57	UG	Married	56046.0	0	673	9	577	0	64	0	0	692	51	2	10	1	19	8	8	2	0	Old	0
80	37	UG	Single	29760.0	1	829	87	64	4	68	7	5	165	17	4	3	1	8	4	8	0	0	Old	2
81	53	UG	Married	26304.0	1	531	5	4	1	5	2	0	16	4	1	1	0	3	2	7	0	0	Old	2
82	49	UG	Married	23559.0	1	639	87	25	5	19	7	0	79	23	3	3	0	6	3	7	0	0	Old	2
83	59	PG	Married	38620.0	0	396	56	112	17	44	34	22	318	89	1	2	5	10	3	3	0	0	Old	2
84	35	UG	Single	81361.0	0	284	18	163	23	424	27	65	778	76	1	3	10	26	13	1	0	0	New	1
85	62	UG	Married	29440.0	2	393	95	17	8	14	10	4	56	3	2	1	0	5	4	7	0	0	Old	2
86	52	PG	Married	36138.0	2	508	48	130	0	16	0	0	151	5	5	3	1	8	4	7	1	0	Old	2
87	65	UG	Single	50388.0	1	192	3	292	6	37	0	3	372	34	4	6	1	13	6	7	3	0	New	4
88	49	UG	Married	79593.0	0	1	70	350	60	568	110	133	1366	145	1	5	6	18	7	2	1	0	New	1
89	55	UG	Married	54178.0	1	319	79	135	9	39	4	0	194	7	1	2	2	9	5	2	0	0	New	4
90	65	PG	Married	51381.5	3	747	4	230	42	192	49	37	603	53	12	7	2	17	8	9	0	0	Old	0
91	65	UG	Single	51381.5	2	193	45	7	0	8	2	0	18	1	1	1	0	3	2	7	0	0	New	4
92	49	PG	Married	51381.5	0	378	87	445	37	359	98	28	985	18	1	2	4	14	8	1	0	0	Old	3
93	50	PG	Single	42394.0	1	258	69	15	2	10	0	1	32	4	1	1	0	4	3	7	0	0	New	4
94	52	PG	Married	23626.0	1	196	84	27	2	14	0	0	43	0	3	3	1	7	3	5	0	0	New	4
95	39	UG	Married	30096.0	1	198	30	5	3	11	12	5	45	9	1	2	0	5	3	6	0	0	New	4
96	62	UG	Single	47916.0	1	744	72	505	0	26	0	0	606	75	5	7	4	17	6	6	1	0	Old	0
97	50	UG	Single	51813.0	2	397	37	51	2	7	0	1	63	2	2	2	0	5	3	7	0	0	Old	2
98	71	UG	Married	78497.0	0	693	44	207	26	447	75	0	978	223	1	5	7	24	12	2	1	0	Old	3
99	39	PG	Married	50150.0	0	534	32	135	46	92	65	61	410	11	2	5	2	14	7	5	0	0	Old	0
100	62	UG	Single	47823.0	1	501	0	53	1	5	2	1	72	10	2	2	0	5	3	8	0	0	Old	2
101	63	PG	Single	34554.0	1	251	43	41	1	6	2	0	55	5	2	2	0	5	3	6	0	0	New	4
102	43	UG	Married	85693.0	1	595	59	386	172	183	185	132	1169	111	2	9	5	25	11	5	0	0	Old	3
103	77	PG	Married	65846.0	0	568	68	562	81	276	80	40	1120	81	1	6	3	15	6	4	0	0	Old	3
104	63	UG	Married	87195.0	0	123	35	217	76	690	50	26	1097	38	1	3	11	19	5	1	1	0	New	1
105	43	UG	Married	24594.0	1	420	94	1	3	6	10	0	29	9	1	1	0	4	3	5	0	0	Old	2
106	58	UG	Married	49096.0	2	438	15	144	1	32	2	1	187	7	4	4	1	9	4	7	0	0	Old	2
107	53	UG	Married	52413.0	2	672	56	295	106	271	75	98	910	65	4	6	4	22	12	6	0	0	Old	0
108	44	UG	Single	38557.0	1	717	17	76	3	31	4	4	145	27	2	3	1	7	3	7	0	0	Old	2
109	62	PG	Married	89058.0	0	877	18	454	194	106	31	22	850	43	1	5	4	13	4	2	0	0	Old	3
110	43	UG	Married	77298.0	1	663	46	425	115	292	23	35	969	79	1	6	6	23	11	3	0	0	Old	3
111	31	PG	Single	68126.0	0	786	40	1332	17	311	23	51	1820	86	1	7	4	16	5	9	2	0	Old	3
112	59	PG	Married	57288.0	1	164	27	527	0	21	0	0	608	60	3	8	1	17	8	6	1	0	New	4
113	31	UG	Single	86037.0	0	673	95	490	44	125	29	20	730	22	1	6	7	24	11	3	3	0	Old	3
114	42	PG	Married	43974.0	1	724	19	378	0	101	0	0	551	72	5	6	4	16	6	7	0	0	Old	0
115	60	UG	Single	50785.0	2	423	27	64	1	21	0	1	114	27	2	2	1	6	3	6	0	0	Old	2
116	52	UG	Married	90765.0	0	316	25	547	99	812	151	82	1724	33	0	4	6	15	5	1	2	0	New	1
117	44	UG	Married	36550.0	1	655	74	47	90	94	123	103	577	120	5	9	1	15	5	9	0	0	Old	0
118	55	UG	Married	30753.0	2	394	85	12	5	25	0	9	81	30	2	1	1	5	3	5	0	0	Old	2
119	53	UG	Married	21918.0	1	387	37	1	6	7	11	5	33	3	2	2	0	5	3	6	0	0	Old	2
120	69	PG	Married	56129.0	1	534	65	320	48	133	39	72	660	48	4	6	2	18	10	4	0	0	Old	0
121	55	PG	Single	32557.0	1	285	13	34	3	29	0	4	80	10	3	2	1	6	3	5	1	0	New	4
122	37	PG	Married	19510.0	2	606	63	9	0	7	3	4	30	7	2	1	0	4	3	7	0	0	Old	2
123	46	UG	Single	30992.0	1	593	83	17	0	14	7	3	43	2	1	1	0	4	3	7	0	0	Old	2
124	39	UG	Single	101970.0	0	368	69	722	27	102	44	72	1135	168	0	6	8	27	13	2	4	0	New	1
125	57	UG	Married	71488.0	0	656	87	162	33	124	40	28	559	172	2	3	4	14	7	1	0	0	Old	3
126	38	UG	Single	79607.0	0	594	37	450	133	951	173	0	1923	216	1	3	6	15	6	1	1	0	Old	3
127	69	PG	Married	54348.0	2	122	51	70	0	16	0	0	90	4	2	2	0	6	4	6	0	0	New	4
128	61	PG	Married	51381.5	1	394	23	352	0	27	10	0	404	15	3	6	1	14	7	6	0	0	Old	0
129	66	PG	Married	77376.0	2	62	72	492	19	110	16	12	661	12	4	6	3	19	10	4	0	0	New	4
130	70	UG	Married	62998.0	1	432	10	120	58	73	65	89	463	58	5	5	4	14	5	5	0	0	Old	0
131	64	PG	Single	61331.0	2	429	42	534	5	47	0	5	632	41	5	11	1	18	6	8	0	0	Old	0
132	53	UG	Married	73448.0	0	65	10	236	106	189	23	41	725	130	1	7	2	18	9	4	0	0	New	1
133	59	UG	Married	51381.5	1	393	96	231	65	196	38	71	725	124	1	6	5	18	7	4	0	0	Old	3
134	58	PG	Married	41551.0	2	479	51	220	0	33	3	0	279	23	5	5	1	11	5	8	0	0	Old	0
135	55	PG	Married	62981.0	0	629	21	796	14	590	38	44	1482	0	1	4	5	22	13	3	1	0	Old	3
136	46	UG	Single	9548.0	1	850	31	0	1	3	10	6	29	9	2	1	0	4	3	8	0	0	Old	2
137	63	PG	Married	33762.0	3	517	61	53	1	34	2	0	106	16	3	2	2	6	2	8	0	0	Old	2
138	49	PG	Single	35860.0	2	201	37	15	0	8	4	2	49	20	2	1	1	4	2	5	2	0	New	4
139	57	PG	Single	36921.0	2	496	74	17	1	12	3	1	38	4	2	2	0	5	3	7	0	0	Old	2
140	30	PG	Single	92859.0	0	778	46	962	61	921	52	61	2077	20	1	5	4	21	12	2	0	0	Old	3
141	46	PG	Married	65104.0	1	387	4	738	0	232	13	20	1053	50	2	3	5	15	7	7	1	0	Old	0
142	60	UG	Married	86111.0	0	596	73	399	28	756	36	40	1385	126	1	5	7	22	10	2	0	0	Old	3
143	48	PG	Single	68352.0	1	465	47	614	16	132	43	33	871	33	3	8	5	22	9	6	0	0	Old	0
144	34	UG	Married	41883.0	1	627	13	32	34	41	73	16	312	116	3	4	2	9	3	7	0	0	Old	2
145	46	UG	Married	59809.0	2	779	36	598	16	141	32	41	877	49	3	3	3	12	6	8	0	0	Old	0
146	47	UG	Married	23957.0	1	769	47	2	1	18	20	11	68	16	1	2	0	5	3	6	1	0	Old	2
147	41	UG	Married	38547.0	1	465	49	6	1	10	0	1	22	4	1	1	0	3	2	8	0	1	Old	2
148	49	UG	Married	35688.0	3	836	94	73	3	90	12	1	211	32	7	4	1	9	4	8	0	0	Old	2
149	56	PG	Married	49605.0	0	168	65	42	16	29	12	20	127	8	1	2	1	7	4	3	0	0	New	4
150	69	PG	Married	59354.0	2	226	59	295	21	78	39	13	459	13	1	4	4	15	7	3	0	0	New	4
151	53	UG	Married	65747.0	1	156	96	346	17	48	23	13	460	13	4	8	1	15	6	6	1	0	New	4
152	50	UG	Married	46344.0	1	722	28	233	20	57	8	20	429	91	4	7	1	13	5	7	0	0	Old	0
153	34	UG	Single	34176.0	1	1	12	5	7	24	19	14	89	20	4	3	0	7	4	6	0	0	New	4
154	70	PG	Married	61010.0	1	817	57	888	0	57	0	0	1021	76	2	8	5	24	11	5	0	0	Old	0
155	73	UG	Married	69372.0	0	655	10	997	26	269	34	13	1381	42	1	10	4	20	6	4	3	0	Old	3
156	64	UG	Single	49967.0	1	486	4	212	6	69	4	12	306	3	3	6	1	12	5	7	0	0	Old	2
157	44	UG	Single	60199.0	3	362	49	8	1	7	2	0	18	0	1	0	0	3	3	4	0	0	New	4
158	45	UG	Married	55375.0	1	415	3	42	11	57	10	28	162	14	1	1	1	8	6	2	0	0	Old	2
159	67	UG	Single	80317.0	0	473	64	536	11	387	149	91	1231	57	1	3	4	17	10	1	0	0	Old	3
160	64	PG	Single	30523.0	3	698	0	5	0	3	0	0	13	5	1	1	0	3	2	7	0	0	Old	2
161	77	PG	Married	70356.0	0	939	20	1349	16	249	43	16	1706	33	2	10	6	25	9	6	0	0	Old	3
162	38	UG	Married	23228.0	1	219	91	53	3	49	7	4	121	5	4	3	0	7	4	8	0	0	New	4
163	47	PG	Single	74165.0	0	700	9	1001	12	240	16	12	1293	12	1	5	4	19	10	2	0	0	Old	3
164	49	PG	Married	157243.0	1	337	98	20	2	1582	1	2	1608	1	15	0	22	22	0	0	0	0	New	1
165	56	UG	Married	43482.0	3	388	83	18	1	32	6	3	88	28	3	2	0	6	4	6	0	0	Old	2
166	69	UG	Single	62551.0	0	383	27	125	16	98	134	21	421	27	1	6	7	17	4	3	1	0	Old	3
167	63	UG	Single	52332.0	0	465	63	212	5	33	7	0	259	2	1	3	2	11	6	4	1	0	Old	2
168	34	UG	Single	66951.0	0	663	46	277	162	305	173	76	1117	124	1	3	4	14	7	1	0	0	Old	3
169	65	UG	Married	26091.0	2	284	84	15	10	19	8	17	89	20	3	2	1	6	3	5	0	0	New	4
170	57	UG	Married	33456.0	2	229	58	7	3	10	8	1	36	7	2	1	0	4	3	7	0	0	New	4
171	40	UG	Married	28718.0	1	511	78	12	4	6	11	8	57	16	2	2	0	5	3	8	0	0	Old	2
172	52	UG	Married	50447.0	2	229	4	85	7	24	2	3	148	27	1	3	1	7	3	6	0	0	New	4
173	63	PG	Married	53537.0	2	310	17	81	0	6	0	0	93	6	2	2	1	6	3	5	0	0	New	4
174	55	UG	Single	52074.0	1	246	77	59	0	12	0	0	119	48	1	2	2	6	2	4	1	0	New	4
175	47	PG	Married	80427.0	1	727	56	1149	71	449	69	71	1835	26	1	11	8	27	8	5	0	0	Old	3
176	74	PG	Married	83837.0	0	720	79	847	66	119	86	89	1318	111	1	9	10	24	5	4	3	0	Old	3
177	52	PG	Married	38853.0	2	197	90	29	0	14	0	0	45	2	2	2	0	5	3	7	0	0	New	4
178	63	UG	Married	38285.0	3	165	96	2	0	5	2	0	10	1	1	0	0	3	3	2	0	0	New	4
179	71	UG	Married	78497.0	0	693	44	207	26	447	75	0	978	223	1	5	7	24	12	2	1	0	Old	3
180	46	PG	Married	51650.0	1	31	81	152	3	22	2	5	191	7	1	4	1	9	4	5	0	0	New	4
181	34	UG	Married	16248.0	1	62	77	12	11	10	3	12	57	9	3	2	1	6	3	6	0	0	New	4
182	76	PG	Married	66835.0	0	434	21	620	26	195	34	17	1033	141	1	6	4	23	13	2	0	0	Old	3
183	38	PG	Married	30477.0	1	318	16	47	1	6	0	0	66	12	1	1	1	5	3	6	0	0	New	4
184	61	UG	Married	28249.0	0	174	80	1	9	7	2	14	43	10	1	2	0	5	3	6	0	0	New	4
185	39	UG	Married	25271.0	1	938	45	10	1	18	10	4	50	7	1	1	1	4	2	9	0	0	Old	2
186	52	PG	Single	32303.0	1	125	63	35	0	2	0	0	39	2	2	1	0	5	4	5	0	0	New	4
187	56	UG	Married	61286.0	1	666	34	356	0	107	19	9	608	117	2	7	1	16	8	5	0	0	Old	0
188	46	UG	Married	74068.0	0	627	14	783	30	537	140	76	1581	15	1	4	10	23	9	2	0	0	Old	3
189	58	PG	Married	45759.0	2	651	13	42	1	18	3	0	68	4	2	2	0	5	3	7	0	0	Old	2
190	44	UG	Married	24882.0	1	818	52	1	4	10	29	0	80	36	1	1	1	4	2	6	1	0	Old	2
191	33	PG	Married	66973.0	0	568	98	466	22	432	147	113	1282	102	1	8	7	27	12	3	0	0	Old	3
192	122	UG	Single	36640.0	1	436	99	15	6	8	7	4	65	25	1	2	1	5	2	5	0	1	Old	2
193	34	UG	Married	38872.0	1	555	93	23	3	21	3	19	91	22	2	3	0	6	3	8	0	0	Old	2
194	49	UG	Married	51148.0	2	656	38	235	6	45	8	9	315	12	4	5	1	12	6	6	0	0	Old	2
195	45	UG	Married	31353.0	2	342	24	10	0	10	3	1	31	7	2	1	1	4	2	8	0	0	New	4
196	42	PG	Married	69661.0	0	207	80	656	16	106	32	16	834	8	1	7	3	22	12	3	0	0	New	1
197	68	UG	Married	80067.0	0	443	82	519	17	813	27	173	1600	51	1	4	6	16	6	2	1	0	Old	3
198	68	UG	Married	86718.0	0	688	20	344	189	482	50	33	1270	172	1	5	6	16	5	2	0	0	Old	3
199	49	PG	Single	46854.0	2	250	81	96	1	79	7	1	263	79	6	5	1	9	3	8	2	0	New	4
200	70	UG	Single	69142.0	1	160	50	448	4	34	6	4	535	39	3	8	1	16	7	5	1	0	New	4
201	54	UG	Single	75922.0	0	450	60	265	138	553	224	23	1295	92	1	4	4	17	9	1	0	0	Old	3
202	44	UG	Single	63693.0	1	418	63	587	43	337	42	87	1150	54	3	11	6	26	9	6	0	0	Old	3
203	45	PG	Married	102160.0	0	1029	54	763	29	138	76	176	1240	58	0	7	9	26	10	4	4	0	Old	3
204	57	PG	Single	40637.0	2	507	72	22	0	13	0	0	38	3	2	1	0	4	3	7	0	0	Old	2
205	38	PG	Single	18890.0	0	786	5	6	4	1	7	2	35	15	1	0	1	3	2	6	2	0	Old	2
206	34	UG	Married	29604.0	1	481	88	7	6	13	7	6	53	14	1	1	0	4	3	9	1	0	Old	2
207	59	PG	Single	48721.0	2	572	50	81	18	113	47	13	293	21	6	4	2	11	5	6	0	0	Old	0
208	56	UG	Married	44794.0	1	122	99	54	0	7	0	0	65	4	1	2	0	5	3	6	0	0	New	4
209	68	UG	Single	64497.0	1	788	17	1170	48	320	42	32	1804	192	5	11	4	24	9	8	2	0	Old	0
210	66	UG	Married	46097.0	1	615	11	72	24	68	65	4	241	8	5	3	1	10	6	4	0	0	Old	2
211	68	UG	Married	77972.0	0	263	18	613	22	319	33	102	1101	12	1	4	6	19	9	1	0	0	New	1
212	54	PG	Married	44377.0	2	940	70	224	0	30	0	0	264	10	8	5	1	11	5	8	0	0	Old	0
213	48	PG	Married	46014.0	2	684	21	410	0	59	19	9	541	44	10	7	1	16	8	7	0	0	Old	0
214	37	UG	Married	70951.0	0	610	66	239	10	554	254	87	1198	54	1	3	4	16	9	1	0	0	Old	3
215	45	UG	Married	41443.0	1	336	79	171	7	171	25	19	482	89	6	8	1	14	5	8	0	0	New	4
216	44	UG	Single	52195.0	3	1	2	12	0	4	0	0	17	1	1	1	0	3	2	8	0	0	New	4
217	74	PG	Married	83790.0	0	386	81	1076	16	417	42	48	1615	16	1	8	10	24	6	3	2	0	Old	3
218	68	PG	Single	44551.0	1	462	24	182	4	33	0	0	285	66	2	4	1	10	5	7	0	0	Old	2
219	42	UG	Married	69508.0	1	752	48	824	32	162	42	32	1135	43	2	11	4	26	11	6	0	0	Old	0
220	34	UG	Married	45204.0	1	32	93	30	11	25	29	1	114	18	1	1	1	6	4	3	0	0	New	4
221	53	UG	Married	72460.0	0	387	56	377	10	540	80	30	1047	10	1	3	5	15	7	1	0	0	Old	3
222	52	PG	Married	77622.0	2	236	3	520	7	154	19	0	714	14	2	6	3	20	11	3	0	0	New	1
223	42	PG	Married	30732.0	1	584	44	155	1	25	0	1	185	3	4	4	1	9	4	8	0	0	Old	2
224	60	UG	Single	63887.0	1	849	38	897	23	207	15	11	1245	92	5	9	6	27	12	6	0	0	Old	0
225	44	UG	Married	42011.0	1	620	46	131	0	16	2	1	189	39	4	3	1	8	4	8	0	0	Old	2
226	46	UG	Married	51369.0	1	772	84	297	7	79	0	11	576	182	2	8	2	14	4	8	0	0	Old	0
227	70	UG	Single	51537.0	1	815	27	787	20	204	0	0	1103	92	3	2	2	15	11	8	0	0	Old	0
228	50	PG	Married	79930.0	0	850	72	792	86	740	67	51	1753	17	1	3	5	16	8	2	0	0	Old	3
229	36	PG	Married	34320.0	1	293	66	4	1	9	3	0	17	0	1	1	0	3	2	8	0	0	New	4
230	56	UG	Single	37070.0	2	626	30	231	7	137	4	15	433	39	9	5	1	14	8	7	1	0	Old	0
231	60	UG	Single	81975.0	1	584	2	983	76	184	180	138	1588	27	1	6	3	13	4	7	1	0	Old	3
232	51	UG	Married	38590.0	1	570	65	3	1	8	4	3	22	3	1	1	0	3	2	8	0	0	Old	2
233	71	UG	Single	15033.0	0	234	37	0	4	5	6	0	19	4	1	1	0	4	3	3	0	0	New	4
234	57	PG	Married	62745.0	1	623	89	562	21	464	28	10	1117	32	3	7	8	26	11	5	0	0	Old	0
235	47	UG	Married	22212.0	1	450	49	5	9	20	6	8	69	21	2	2	0	6	4	6	0	0	Old	2
236	40	PG	Married	23661.0	1	603	46	18	0	4	0	0	23	1	1	1	0	4	3	7	0	0	Old	2
237	64	PG	Single	79761.0	1	605	32	415	5	124	15	35	605	11	1	5	2	18	11	3	0	0	Old	0
238	49	UG	Single	7500.0	1	345	54	5	3	10	12	7	57	20	4	3	1	7	3	7	0	0	New	4
239	129	UG	Single	60182.0	1	203	23	8	0	5	7	0	22	2	1	1	0	3	2	4	0	0	New	4
240	54	UG	Single	73455.0	0	404	98	901	61	757	186	163	2088	20	1	6	5	21	10	3	1	0	Old	3
241	64	UG	Married	64961.0	1	713	97	382	114	276	75	124	1009	38	2	6	4	14	4	3	0	0	Old	3
242	51	UG	Single	22804.0	1	493	75	14	1	7	2	1	26	1	1	2	0	4	2	9	0	0	Old	2
243	32	UG	Married	73687.0	0	373	8	559	153	503	218	13	1627	181	1	3	9	21	9	2	2	0	New	1
